src 	 time 	 tahrs 	 bank 	 attitude 	 heading 	 traw 	 acc[0] 	 acc[1] 	 acc[2] 	 mag[0] 	 mag[1] 	 mag[2] 	 gyr[0] 	 gyr[1] 	 gyr[2]
1 	 2.755459 	 1979377.000000 	 -101.302338 	 -78.700920 	 310.919922 	 1979377.000000 	 -10.006201 	 -1.962000 	 0.627840 	 -0.664179 	 -0.031343 	 0.262687 	 0.000000 	 0.004887 	 0.019548
2 	 2.761237 	 1973256.000000 	 107.423393 	 -68.343880 	 200.411850 	 1973256.000000 	 -9.535320 	 3.531600 	 1.294920 	 -0.308955 	 -0.228358 	 0.864179 	 0.003665 	 0.006109 	 0.020769
1 	 2.784065 	 1979397.000000 	 -101.242493 	 -78.694916 	 310.983154 	 1979397.000000 	 -10.123920 	 -1.962000 	 0.196200 	 -0.662687 	 -0.035821 	 0.264179 	 0.001222 	 0.008552 	 0.010996
2 	 2.790039 	 1973276.000000 	 107.496574 	 -68.338516 	 200.477890 	 1973276.000000 	 -9.574560 	 3.649320 	 1.255680 	 -0.311940 	 -0.234328 	 0.874627 	 0.003665 	 0.002443 	 0.012217
1 	 2.813344 	 1979416.000000 	 -101.242081 	 -78.699997 	 310.979614 	 1979416.000000 	 -10.045441 	 -1.922760 	 0.313920 	 -0.667164 	 -0.037313 	 0.265672 	 -0.006109 	 0.003665 	 0.012217
2 	 2.819196 	 1973286.000000 	 107.517990 	 -68.335495 	 200.496246 	 1973286.000000 	 -9.613801 	 3.649320 	 1.255680 	 -0.210448 	 -0.161194 	 0.600000 	 0.002443 	 0.006109 	 0.015882
1 	 2.842401 	 1979447.000000 	 -101.168083 	 -78.711388 	 311.058685 	 1979447.000000 	 -9.966961 	 -1.922760 	 0.274680 	 -0.664179 	 -0.031343 	 0.264179 	 0.002443 	 0.002443 	 0.020769
2 	 2.847888 	 1973316.000000 	 107.532120 	 -68.305916 	 200.517914 	 1973316.000000 	 -9.496080 	 3.767040 	 1.137960 	 -0.316418 	 -0.231343 	 0.874627 	 0.006109 	 0.002443 	 0.020769
1 	 2.870902 	 1979477.000000 	 -101.234894 	 -78.711250 	 311.003021 	 1979477.000000 	 -10.045441 	 -1.922760 	 0.431640 	 -0.667164 	 -0.034328 	 0.271642 	 0.006109 	 0.008552 	 0.020769
2 	 2.876590 	 1973336.000000 	 107.586937 	 -68.286270 	 200.577454 	 1973336.000000 	 -9.417601 	 3.688560 	 1.255680 	 -0.320896 	 -0.231343 	 0.894030 	 0.013439 	 0.006109 	 0.015882
1 	 2.899900 	 1979497.000000 	 -101.163200 	 -78.699997 	 311.075470 	 1979497.000000 	 -10.006201 	 -2.040480 	 0.392400 	 -0.661194 	 -0.032836 	 0.265672 	 -0.002443 	 0.010996 	 0.014661
2 	 2.905670 	 1973366.000000 	 107.669495 	 -68.307304 	 200.659164 	 1973366.000000 	 -9.417601 	 3.453120 	 1.216440 	 -0.311940 	 -0.237313 	 0.882090 	 0.012217 	 0.007330 	 0.015882
1 	 2.928650 	 1979507.000000 	 -101.190819 	 -78.692276 	 311.053040 	 1979507.000000 	 -10.006201 	 -2.040480 	 0.431640 	 -0.673134 	 -0.035821 	 0.268657 	 0.007330 	 0.001222 	 0.019548
2 	 2.957649 	 1973386.000000 	 107.707130 	 -68.349243 	 200.697342 	 1973386.000000 	 -9.574560 	 3.335400 	 1.177200 	 -0.310448 	 -0.232836 	 0.873134 	 0.006109 	 0.002443 	 0.010996
2 	 2.963807 	 1973396.000000 	 107.696518 	 -68.363037 	 200.685974 	 1973396.000000 	 -9.496080 	 3.413880 	 1.059480 	 -0.311940 	 -0.228358 	 0.865672 	 0.003665 	 0.008552 	 0.017104
1 	 2.987157 	 1979537.000000 	 -101.140457 	 -78.672905 	 311.106964 	 1979537.000000 	 -10.123920 	 -2.001240 	 0.431640 	 -0.668657 	 -0.032836 	 0.268657 	 0.001222 	 0.010996 	 0.018326
2 	 2.992805 	 1973416.000000 	 107.701096 	 -68.373848 	 200.690887 	 1973416.000000 	 -9.535320 	 3.531600 	 1.177200 	 -0.322388 	 -0.234328 	 0.886567 	 0.004887 	 0.003665 	 0.012217
1 	 3.016776 	 1979557.000000 	 -101.200935 	 -78.678162 	 311.048004 	 1979557.000000 	 -10.123920 	 -1.883520 	 0.470880 	 -0.670149 	 -0.035821 	 0.264179 	 -0.001222 	 0.007330 	 0.021991
2 	 3.022348 	 1973426.000000 	 107.691025 	 -68.377411 	 200.681183 	 1973426.000000 	 -9.574560 	 3.570840 	 1.098720 	 -0.308955 	 -0.229851 	 0.900000 	 0.004887 	 0.006109 	 0.017104
